event,reason,step,position,entry_price,exit_price,realized_pips,cost_pips,net_pips,equity_usd,time_in_trade
CLOSE,SL_HIT,1847,-1,1.0842541771570346,1.0932541771570345,-89.99999999999896,1.0,-90.99999999999896,11332.508487795949,96
CLOSE,SL_HIT,1854,-1,1.0924891229734437,1.0954891229734436,-29.999999999998916,1.0,-30.999999999998916,11022.50848779596,6
CLOSE,TP_HIT,1924,-1,1.0969480026812635,1.0879480026812636,89.99999999999896,1.0,88.99999999999896,11912.508487795949,69
CLOSE,SL_HIT,1989,-1,1.0903448459661347,1.0933448459661346,-29.999999999998916,1.0,-30.999999999998916,11602.50848779596,64
CLOSE,SL_HIT,1996,-1,1.09353370833516,1.0965337083351598,-29.999999999998916,1.0,-30.999999999998916,11292.50848779597,6
CLOSE,SL_HIT,1998,-1,1.0963690817948568,1.0993690817948567,-29.999999999998916,1.0,-30.999999999998916,10982.508487795982,1
CLOSE,SL_HIT,2016,-1,1.0975902089317868,1.1005902089317867,-29.999999999998916,1.0,-30.999999999998916,10672.508487795993,17
CLOSE,SL_HIT,2020,-1,1.1014582905497352,1.104458290549735,-29.999999999998916,1.0,-30.999999999998916,10362.508487796003,3
CLOSE,TP_HIT,2068,-1,1.1048623640240032,1.0958623640240033,89.99999999999896,1.0,88.99999999999896,11252.508487795993,47
CLOSE,SL_HIT,2193,-1,1.0953417754717976,1.1043417754717975,-89.99999999999896,1.0,-90.99999999999896,10342.508487796003,124
CLOSE,SL_HIT,2237,-1,1.104381236250421,1.107381236250421,-29.999999999998916,1.0,-30.999999999998916,10032.508487796014,43
CLOSE,TP_HIT,2284,-1,1.108472651499245,1.0964726514992449,120.0000000000001,1.0,119.0000000000001,11222.508487796014,46
CLOSE,TP_HIT,2285,1,1.0984566274221934,1.1014566274221933,29.999999999998916,1.0,28.999999999998916,11512.508487796003,0
CLOSE,SL_HIT,2365,-1,1.0999431846054908,1.1089431846054907,-89.99999999999896,1.0,-90.99999999999896,10602.508487796014,79
CLOSE,TP_HIT,2390,-1,1.1075120854662877,1.0985120854662878,89.99999999999896,1.0,88.99999999999896,11492.508487796003,24
CLOSE,TP_HIT,2460,-1,1.0991033393447194,1.0931033393447194,60.00000000000005,1.0,59.00000000000005,12082.508487796003,69
CLOSE,MANUAL_CLOSE,2535,-1,1.0929828421699301,1.0825218328947825,104.61009275147592,1.0,103.61009275147592,13118.609415310762,74
CLOSE,TP_HIT,2537,1,1.0815365180321093,1.0845365180321092,29.999999999998916,1.0,28.999999999998916,13408.609415310752,1
CLOSE,SL_HIT,2554,1,1.084401629650557,1.078401629650557,-60.00000000000005,1.0,-61.00000000000005,12798.609415310752,16
CLOSE,MANUAL_CLOSE,2691,-1,1.0777652918968101,1.0706754890146024,70.8980288220773,1.0,69.8980288220773,13497.589703531525,136
CLOSE,TP_HIT,2702,1,1.0713802107963968,1.0743802107963967,29.999999999998916,1.0,28.999999999998916,13787.589703531514,10
